position,rx phyrate,rx mcs,rx nss,noise,avg beacon rssi,diff rx bytes,diff rx packets,
"1,1",0,0,0,0,0,0,0,
"1,2",0,0,0,0,0,0,0,
"1,3",0,0,0,0,0,0,0,
"1,4",0,0,0,0,0,0,0,
"1,5",0,0,0,0,0,0,0,
"1,6",0,0,0,0,0,0,0,
"1,7",0,0,0,0,0,0,0,
"1,8",0,0,0,0,0,0,0,
"1,9",0,0,0,0,0,0,0,
"1,10",0,0,0,0,0,0,0,
"1,11",0,0,0,0,0,0,0,
"1,12",0,0,0,0,0,0,0,
"1,13",32323,4,1,-94,-81,1736616,1406,
"1,14",41543,4,1,-94,-81,1747704,1414,
"1,15",40931,4,1,-94,-80,1694556,1371,
"1,16",39036,4,1,-94,-80,1845348,1493,
"1,17",40028,4,1,-94,-79,1781076,1441,
"1,18",40321,4,1,-94,-79,1726692,1397,
"1,19",40382,4,1,-94,-78,1831752,1482,
"1,20",49957,4,1,-94,-77,1697028,1373,
"1,21",52876,5,1,-94,-77,1710660,1385,
"1,22",55465,5,1,-94,-76,1831752,1482,
"1,23",57829,6,1,-94,-75,1886136,1526,
"1,24",67226,7,1,-94,-74,1783548,1443,
"1,25",66063,6,1,-94,-73,1769952,1432,
"1,26",69204,7,1,-94,-73,1896168,1538,
"1,27",70896,7,1,-94,-71,1757592,1422,
"1,28",116935,11,1,-94,-63,1778604,1439,
"1,29",121007,11,1,-94,-62,1788492,1447,
"1,30",121433,11,1,-94,-61,1438740,1165,
"1,31",121472,11,1,-94,-59,1792200,1450,
"1,32",121388,11,1,-94,-58,1835460,1485,
"1,33",121456,11,1,-94,-57,1652532,1337,
"1,34",121419,11,1,-94,-56,1820628,1473,
"1,35",121445,11,1,-94,-55,1803324,1459,
"1,36",121515,11,1,-94,-53,1783548,1443,
"1,37",121531,11,1,-94,-52,1793436,1451,
"1,38",121592,11,1,-94,-51,1718040,1390,
"1,39",121661,11,1,-94,-51,1782312,1442,
"1,40",121554,11,1,-94,-51,1824336,1476,
"1,41",121675,11,1,-94,-51,1773660,1435,
"1,42",121609,11,1,-94,-51,1762536,1426,
"1,43",121459,11,1,-94,-52,1849236,1501,
"1,44",121548,11,1,-94,-53,1818156,1471,
"1,45",121432,11,1,-94,-54,1776132,1437,
"1,46",121330,11,1,-94,-56,1768716,1431,
"1,47",121468,11,1,-94,-57,1788528,1448,
"1,48",121386,11,1,-94,-58,1819392,1472,
"1,49",121352,11,1,-94,-59,1902204,1539,
"1,50",121414,11,1,-94,-60,1818156,1471,
"1,51",121216,11,1,-94,-61,1727928,1398,
"1,52",118550,11,1,-94,-63,1799616,1456,
