position,rx phyrate,rx mcs,rx nss,noise,avg beacon rssi,diff rx bytes,diff rx packets
"-26,-26",0,0,0,0,0,0,0,
"-26,-25",0,0,0,0,0,0,0,
"-26,-24",0,0,0,0,0,0,0,
"-26,-23",19734,2,1,-94,-82,1452300,1175,
"-26,-22",21241,2,1,-94,-82,2560992,2072,
"-26,-21",28366,3,1,-94,-81,2125920,1720,
"-26,-20",28345,3,1,-94,-81,2616612,2117,
"-26,-19",27037,3,1,-94,-81,2238396,1811,
"-26,-18",28174,3,1,-94,-81,2889840,2340,
"-26,-17",35020,3,1,-94,-81,2607960,2110,
"-26,-16",39145,4,1,-94,-81,2781000,2250,
"-26,-15",42124,4,1,-94,-81,3134532,2537,
"-26,-14",37934,4,1,-94,-81,1940520,1570,
"-26,-13",27400,3,1,-94,-81,2066592,1672,
"-26,-12",28264,3,1,-94,-82,1980072,1602,
"-26,-11",27359,3,1,-94,-82,3035616,2456,
"-26,-10",0,0,0,0,0,0,0,
"-26,-9",0,0,0,0,0,0,0,
"-26,-8",0,0,0,0,0,0,0,
"-26,-7",0,0,0,0,0,0,0,
"-26,-6",0,0,0,0,0,0,0,
"-26,-5",0,0,0,0,0,0,0,
"-26,-4",0,0,0,0,0,0,0,
"-26,-3",0,0,0,0,0,0,0,
"-26,-2",0,0,0,0,0,0,0,
"-26,-1",0,0,0,0,0,0,0,
"-26,0",0,0,0,0,0,0,0,
"-26,1",0,0,0,0,0,0,0,
"-26,2",0,0,0,0,0,0,0,
"-26,3",0,0,0,0,0,0,0,
"-26,4",0,0,0,0,0,0,0,
"-26,5",0,0,0,0,0,0,0,
"-26,6",0,0,0,0,0,0,0,
"-26,7",0,0,0,0,0,0,0,
"-26,8",0,0,0,0,0,0,0,
"-26,9",0,0,0,0,0,0,0,
"-26,10",0,0,0,0,0,0,0,
"-26,11",0,0,0,0,0,0,0,
"-26,12",0,0,0,0,0,0,0,
"-26,13",0,0,0,0,0,0,0,
"-26,14",0,0,0,0,0,0,0,
"-26,15",0,0,0,0,0,0,0,
"-26,16",0,0,0,0,0,0,0,
"-26,17",0,0,0,0,0,0,0,
"-26,18",0,0,0,0,0,0,0,
"-26,19",0,0,0,0,0,0,0,
"-26,20",0,0,0,0,0,0,0,
"-26,21",0,0,0,0,0,0,0,
"-26,22",0,0,0,0,0,0,0,
"-26,23",0,0,0,0,0,0,0,
"-26,24",0,0,0,0,0,0,0,
"-26,25",0,0,0,0,0,0,0,
"-26,26",0,0,0,0,0,0,0,
"-25,-26",0,0,0,0,0,0,0,
"-25,-25",27453,3,1,-94,-82,2544924,2059,
"-25,-24",28448,3,1,-94,-81,2232216,1806,
"-25,-23",39598,4,1,-94,-81,1965240,1590,
"-25,-22",26342,3,1,-94,-81,2427504,1964,
"-25,-21",28744,3,1,-94,-80,2410200,1950,
"-25,-20",35305,4,1,-94,-80,2821860,2285,
"-25,-19",18180,2,1,-94,-80,1299036,1051,
"-25,-18",42695,4,1,-94,-80,4045428,3273,
"-25,-17",42286,4,1,-94,-80,3030708,2453,
"-25,-16",33162,4,1,-94,-80,1732872,1402,
"-25,-15",21563,3,1,-94,-80,1664892,1347,
"-25,-14",27670,3,1,-94,-80,2677176,2166,
"-25,-13",28462,3,1,-94,-80,2454696,1986,
"-25,-12",28102,3,1,-94,-81,2621556,2121,
"-25,-11",28558,3,1,-94,-81,3082584,2494,
"-25,-10",38054,4,1,-94,-81,1818156,1471,
"-25,-9",20351,0,1,-94,-82,831828,673,
"-25,-8",0,0,0,0,0,0,0,
"-25,-7",0,0,0,0,0,0,0,
"-25,-6",0,0,0,0,0,0,0,
"-25,-5",0,0,0,0,0,0,0,
"-25,-4",0,0,0,0,0,0,0,
"-25,-3",0,0,0,0,0,0,0,
"-25,-2",0,0,0,0,0,0,0,
"-25,-1",0,0,0,0,0,0,0,
"-25,0",0,0,0,0,0,0,0,
"-25,1",0,0,0,0,0,0,0,
"-25,2",0,0,0,0,0,0,0,
"-25,3",0,0,0,0,0,0,0,
"-25,4",0,0,0,0,0,0,0,
"-25,5",0,0,0,0,0,0,0,
"-25,6",0,0,0,0,0,0,0,
"-25,7",0,0,0,0,0,0,0,
"-25,8",0,0,0,0,0,0,0,
"-25,9",0,0,0,0,0,0,0,
"-25,10",0,0,0,0,0,0,0,
"-25,11",0,0,0,0,0,0,0,
"-25,12",0,0,0,0,0,0,0,
"-25,13",0,0,0,0,0,0,0,
"-25,14",0,0,0,0,0,0,0,
"-25,15",0,0,0,0,0,0,0,
"-25,16",0,0,0,0,0,0,0,
"-25,17",0,0,0,0,0,0,0,
"-25,18",0,0,0,0,0,0,0,
"-25,19",0,0,0,0,0,0,0,
"-25,20",0,0,0,0,0,0,0,
"-25,21",0,0,0,0,0,0,0,
"-25,22",0,0,0,0,0,0,0,
"-25,23",0,0,0,0,0,0,0,
"-25,24",0,0,0,0,0,0,0,
"-25,25",0,0,0,0,0,0,0,
"-25,26",0,0,0,0,0,0,0,
"-24,-26",40037,4,1,-94,-82,1904712,1542,
"-24,-25",39392,4,1,-94,-81,2146932,1737,
"-24,-24",41732,4,1,-94,-81,3255624,2634,
"-24,-23",22401,3,1,-94,-80,1210044,979,
"-24,-22",25406,3,1,-94,-80,2868792,2322,
"-24,-21",41794,4,1,-94,-80,2954040,2390,
"-24,-20",42582,4,1,-94,-79,3522600,2850,
"-24,-19",42352,4,1,-94,-79,2313792,1872,
"-24,-18",41726,4,1,-94,-79,3376788,2733,
"-24,-17",33978,3,1,-94,-79,3287760,2660,
"-24,-16",28631,3,1,-94,-79,2232216,1806,
"-24,-15",28509,3,1,-94,-79,2951568,2388,
"-24,-14",40894,4,1,-94,-79,3046740,2465,
"-24,-13",41340,4,1,-94,-80,4763544,3854,
"-24,-12",24653,3,1,-94,-80,2046816,1656,
"-24,-11",42309,4,1,-94,-80,3203712,2592,
"-24,-10",42406,4,1,-94,-81,3136968,2538,
"-24,-9",34272,4,1,-94,-81,1147044,929,
"-24,-8",25034,3,1,-94,-82,2180304,1764,
"-24,-7",0,0,0,0,0,0,0,
"-24,-6",0,0,0,0,0,0,0,
"-24,-5",0,0,0,0,0,0,0,
"-24,-4",0,0,0,0,0,0,0,
"-24,-3",0,0,0,0,0,0,0,
"-24,-2",0,0,0,0,0,0,0,
"-24,-1",0,0,0,0,0,0,0,
"-24,0",0,0,0,0,0,0,0,
"-24,1",0,0,0,0,0,0,0,
"-24,2",0,0,0,0,0,0,0,
"-24,3",0,0,0,0,0,0,0,
"-24,4",0,0,0,0,0,0,0,
"-24,5",0,0,0,0,0,0,0,
"-24,6",0,0,0,0,0,0,0,
"-24,7",0,0,0,0,0,0,0,
"-24,8",0,0,0,0,0,0,0,
"-24,9",0,0,0,0,0,0,0,
"-24,10",0,0,0,0,0,0,0,
"-24,11",0,0,0,0,0,0,0,
"-24,12",0,0,0,0,0,0,0,
"-24,13",0,0,0,0,0,0,0,
"-24,14",0,0,0,0,0,0,0,
"-24,15",0,0,0,0,0,0,0,
"-24,16",0,0,0,0,0,0,0,
"-24,17",0,0,0,0,0,0,0,
"-24,18",0,0,0,0,0,0,0,
"-24,19",0,0,0,0,0,0,0,
"-24,20",0,0,0,0,0,0,0,
"-24,21",0,0,0,0,0,0,0,
"-24,22",0,0,0,0,0,0,0,
"-24,23",0,0,0,0,0,0,0,
"-24,24",0,0,0,0,0,0,0,
"-24,25",0,0,0,0,0,0,0,
"-24,26",0,0,0,0,0,0,0,
"-23,-26",30317,4,1,-94,-81,1352220,1095,
"-23,-25",20899,3,1,-94,-80,1227348,993,
"-23,-24",38714,4,1,-94,-80,3667212,2967,
"-23,-23",43238,4,1,-94,-79,4015764,3249,
"-23,-22",43019,4,1,-94,-79,3145620,2545,
"-23,-21",42742,4,1,-94,-79,3590580,2905,
"-23,-20",42347,4,1,-94,-78,2307612,1867,
"-23,-19",42971,4,1,-94,-78,3555972,2877,
"-23,-18",33270,4,1,-94,-78,2684628,2173,
"-23,-17",28422,3,1,-94,-78,2118504,1714,
"-23,-16",41047,4,1,-94,-78,3097416,2506,
"-23,-15",42894,4,1,-94,-78,4716612,3817,
"-23,-14",43168,4,1,-94,-78,3991044,3229,
"-23,-13",41228,4,1,-94,-79,4329708,3503,
"-23,-12",42944,4,1,-94,-79,4348248,3518,
"-23,-11",38916,4,1,-94,-79,2043108,1653,
"-23,-10",28313,3,1,-94,-80,2517732,2037,
"-23,-9",28391,3,1,-94,-80,789840,640,
"-23,-8",0,0,0,0,0,0,0,
"-23,-7",0,0,0,0,0,0,0,
"-23,-6",6000,0,0,-94,-82,72,2,
"-23,-5",0,0,0,0,0,0,0,
"-23,-4",0,0,0,0,0,0,0,
"-23,-3",0,0,0,0,0,0,0,
"-23,-2",0,0,0,0,0,0,0,
"-23,-1",0,0,0,0,0,0,0,
"-23,0",0,0,0,0,0,0,0,
"-23,1",0,0,0,0,0,0,0,
"-23,2",0,0,0,0,0,0,0,
"-23,3",0,0,0,0,0,0,0,
"-23,4",0,0,0,0,0,0,0,
"-23,5",0,0,0,0,0,0,0,
"-23,6",0,0,0,0,0,0,0,
"-23,7",0,0,0,0,0,0,0,
"-23,8",0,0,0,0,0,0,0,
"-23,9",0,0,0,0,0,0,0,
"-23,10",0,0,0,0,0,0,0,
"-23,11",0,0,0,0,0,0,0,
"-23,12",0,0,0,0,0,0,0,
"-23,13",0,0,0,0,0,0,0,
"-23,14",0,0,0,0,0,0,0,
"-23,15",0,0,0,0,0,0,0,
"-23,16",0,0,0,0,0,0,0,
"-23,17",0,0,0,0,0,0,0,
"-23,18",0,0,0,0,0,0,0,
"-23,19",0,0,0,0,0,0,0,
"-23,20",0,0,0,0,0,0,0,
"-23,21",0,0,0,0,0,0,0,
"-23,22",0,0,0,0,0,0,0,
"-23,23",0,0,0,0,0,0,0,
"-23,24",0,0,0,0,0,0,0,
"-23,25",0,0,0,0,0,0,0,
"-23,26",0,0,0,0,0,0,0,
"-22,-26",26470,3,1,-94,-80,2525184,2044,
"-22,-25",7444,0,1,-94,-79,783732,637,
"-22,-24",27361,3,1,-94,-79,2478180,2005,
"-22,-23",27953,3,1,-94,-78,2396604,1939,
"-22,-22",28005,3,1,-94,-78,2221092,1797,
"-22,-21",28959,3,1,-94,-77,3724068,3013,
"-22,-20",29189,3,1,-94,-77,3111012,2517,
"-22,-19",41315,4,1,-94,-77,4607808,3728,
"-22,-18",42460,4,1,-94,-77,3577020,2895,
"-22,-17",43199,4,1,-94,-77,4923132,3987,
"-22,-16",43889,4,1,-94,-77,3201240,2590,
"-22,-15",50379,5,1,-94,-77,2116032,1712,
"-22,-14",41704,4,1,-94,-77,4684440,3790,
"-22,-13",27605,3,1,-94,-77,1483200,1200,
"-22,-12",28142,3,1,-94,-78,3305064,2674,
